soil_id,treatment,diameter,cumdist
cedlbl,peroxide,0.01,0
cedlbl,peroxide,0.0102476,0.00129888
cedlbl,peroxide,0.0105014,0.00260625
cedlbl,peroxide,0.0107614,0.00392209
cedlbl,peroxide,0.0110279,0.00524634
cedlbl,peroxide,0.011301,0.00657899
cedlbl,peroxide,0.0115808,0.00791998
cedlbl,peroxide,0.0118676,0.00926929
cedlbl,peroxide,0.0121615,0.0106269
cedlbl,peroxide,0.0124626,0.0119927
cedlbl,peroxide,0.0127712,0.0133667
cedlbl,peroxide,0.0130875,0.0147489
cedlbl,peroxide,0.0134116,0.0161393
cedlbl,peroxide,0.0137437,0.0175377
cedlbl,peroxide,0.014084,0.0189442
cedlbl,peroxide,0.0144328,0.0203587
cedlbl,peroxide,0.0147902,0.0217812
cedlbl,peroxide,0.0151564,0.0232117
cedlbl,peroxide,0.0155317,0.0246501
cedlbl,peroxide,0.0159163,0.0260964
cedlbl,peroxide,0.0163105,0.0275505
cedlbl,peroxide,0.0167143,0.0290124
cedlbl,peroxide,0.0171282,0.0304821
cedlbl,peroxide,0.0175524,0.0319595
cedlbl,peroxide,0.017987,0.0334446
cedlbl,peroxide,0.0184324,0.0349374
cedlbl,peroxide,0.0188889,0.0364378
cedlbl,peroxide,0.0193566,0.0379458
cedlbl,peroxide,0.0198359,0.0394614
cedlbl,peroxide,0.0203271,0.0409845
cedlbl,peroxide,0.0208305,0.0425151
cedlbl,peroxide,0.0213463,0.0440531
cedlbl,peroxide,0.0218749,0.0455985
cedlbl,peroxide,0.0224166,0.0471513
cedlbl,peroxide,0.0229717,0.0487114
cedlbl,peroxide,0.0235405,0.0502789
cedlbl,peroxide,0.0241234,0.0518536
cedlbl,peroxide,0.0247208,0.0534355
cedlbl,peroxide,0.0253329,0.0550247
cedlbl,peroxide,0.0259603,0.056621
cedlbl,peroxide,0.0266031,0.0582244
cedlbl,peroxide,0.0272619,0.0598349
cedlbl,peroxide,0.0279369,0.0614524
cedlbl,peroxide,0.0286287,0.063077
cedlbl,peroxide,0.0293377,0.0647085
cedlbl,peroxide,0.0300641,0.066347
cedlbl,peroxide,0.0308086,0.0679924
cedlbl,peroxide,0.0315715,0.0696447
cedlbl,peroxide,0.0323533,0.0713037
cedlbl,peroxide,0.0331545,0.0729696
cedlbl,peroxide,0.0339755,0.0746423
cedlbl,peroxide,0.0348168,0.0763217
cedlbl,peroxide,0.0356789,0.0780077
cedlbl,peroxide,0.0365624,0.0797004
cedlbl,peroxide,0.0374678,0.0813998
cedlbl,peroxide,0.0383956,0.0831057
cedlbl,peroxide,0.0393464,0.0848181
cedlbl,peroxide,0.0403207,0.0865371
cedlbl,peroxide,0.0413192,0.0882625
cedlbl,peroxide,0.0423424,0.0899944
cedlbl,peroxide,0.0433909,0.0917327
cedlbl,peroxide,0.0444653,0.0934773
cedlbl,peroxide,0.0455664,0.0952282
cedlbl,peroxide,0.0466948,0.0969855
cedlbl,peroxide,0.0478511,0.098749
cedlbl,peroxide,0.049036,0.100519
cedlbl,peroxide,0.0502502,0.102295
cedlbl,peroxide,0.0514946,0.104077
cedlbl,peroxide,0.0527697,0.105865
cedlbl,peroxide,0.0540764,0.107659
cedlbl,peroxide,0.0554155,0.109459
cedlbl,peroxide,0.0567878,0.111266
cedlbl,peroxide,0.058194,0.113078
cedlbl,peroxide,0.059635,0.114896
cedlbl,peroxide,0.0611117,0.11672
cedlbl,peroxide,0.062625,0.11855
cedlbl,peroxide,0.0641758,0.120386
cedlbl,peroxide,0.065765,0.122227
cedlbl,peroxide,0.0673935,0.124075
cedlbl,peroxide,0.0690623,0.125928
cedlbl,peroxide,0.0707725,0.127786
cedlbl,peroxide,0.072525,0.129651
cedlbl,peroxide,0.0743209,0.13152
cedlbl,peroxide,0.0761613,0.133396
cedlbl,peroxide,0.0780473,0.135277
cedlbl,peroxide,0.0799799,0.137163
